# cosine similarity (BOW),levenshtein distance,cosine similarity (NGRAM),BOW flip,LD flip,NGRAM flip,sentence 1,sentence 2
b'0.9999999',b'0',b'1.0',b'0.9999999',b'0',b'1.0',b'162 am 24 control ',b'162 am 24 control'
b'0.98172927',b'2',b'0.7222222222222222',b'0.98172927',b'2',b'0.7222222222222222',b'162 am 24 control ',b'163 am 24 control'
b'0.96084946',b'2',b'0.6140350877192983',b'0.96084946',b'2',b'0.6140350877192983',b'162 am 24 control ',b'164 am 24 control'
b'0.98172927',b'2',b'0.7222222222222222',b'0.98172927',b'2',b'0.7222222222222222',b'163 am 24 control ',b'162 am 24 control'
b'1.0',b'0',b'1.0',b'1.0',b'0',b'1.0',b'163 am 24 control ',b'163 am 24 control'
b'0.9757236',b'3',b'0.7169811320754716',b'0.9757236',b'3',b'0.7169811320754716',b'163 am 24 control ',b'164 am 24 control'
b'0.96084946',b'2',b'0.6140350877192983',b'0.96084946',b'2',b'0.6140350877192983',b'164 am 24 control ',b'162 am 24 control'
b'0.9757236',b'3',b'0.7169811320754716',b'0.9757236',b'3',b'0.7169811320754716',b'164 am 24 control ',b'163 am 24 control'
b'1.0',b'0',b'1.0',b'1.0',b'0',b'1.0',b'164 am 24 control ',b'164 am 24 control'
1.0,0,1.0,1.0,0,1.0,234 pm 34 oakMargin ,234 pm 34 oakMargin 
0.9872835,1,0.8103448275862069,0.9872835,1,0.8103448275862069,234 pm 34 oakMargin ,235 pm 34 oakMargin 
0.9872835,1,0.8103448275862069,0.9872835,1,0.8103448275862069,234 pm 34 oakMargin ,236 pm 34 oakMargin 
0.9872835,1,0.8103448275862069,0.9872835,1,0.8103448275862069,235 pm 34 oakMargin ,234 pm 34 oakMargin 
0.99999994,0,1.0,0.99999994,0,1.0,235 pm 34 oakMargin ,235 pm 34 oakMargin 
0.99999994,0,1.0,0.99999994,0,1.0,235 pm 34 oakMargin ,236 pm 34 oakMargin 
0.9872835,1,0.8103448275862069,0.9872835,1,0.8103448275862069,236 pm 34 oakMargin ,234 pm 34 oakMargin 
0.99999994,0,1.0,0.99999994,0,1.0,236 pm 34 oakMargin ,235 pm 34 oakMargin 
0.99999994,0,1.0,0.99999994,0,1.0,236 pm 34 oakMargin ,236 pm 34 oakMargin 
