transect,time,week,statistic,p.value
oakMargin,pm,23,16,0.45
oakMargin,pm,24,72.5,0.58
oakMargin,pm,25,25.5,0.31
oakMargin,pm,26,3,0.23
oakMargin,pm,27,2.5,0.2
oakMargin,pm,28,12,0.78
oakMargin,pm,29,8,0.3
oakMargin,pm,30,0,NA
oakMargin,pm,31,7.5,0.42
oakMargin,pm,32,1.5,1
oakMargin,pm,34,1,1
control,pm,23,14.5,0.66
control,pm,24,48,0.17
control,pm,25,22,0.31
control,pm,26,3.5,0.07
control,pm,27,1.5,1
control,pm,28,54.5,0.52
control,pm,29,0,0.09
control,pm,30,3.5,0.13
control,pm,31,0,1
control,pm,32,3.5,0.13
control,pm,34,2,0.77
