transect,time,data_label,count,mean,variance
oakMargin,pm,_1to4_,115,0.15456989247311828,0.2032586859752572
control,pm,_1to4_,110,0.1478494623655914,0.1931942999190658
oakMargin,pm,_5to7_,109,0.1953405017921147,0.23961986613738256
control,pm,_5to7_,102,0.1827956989247312,0.24615562492773735
oakMargin,pm,_8to10_,106,0.18996415770609318,0.27215734638558087
control,pm,_8to10_,138,0.24731182795698925,0.354607469071569
oakMargin,pm,_1to4_23to25,73,0.35784313725490197,0.45528162245290266
control,pm,_1to4_23to25,69,0.3382352941176471,0.4493223760092272
oakMargin,pm,_5to7_26to31,39,0.13131313131313133,0.14100601979389862
control,pm,_5to7_26to31,35,0.11784511784511785,0.11069165277919485
oakMargin,pm,_8to10_32to34,2,0.018518518518518517,0.018175582990397808
control,pm,_8to10_32to34,9,0.08333333333333333,0.0763888888888889
