oakMargin.pm.23.79,oakMargin.pm.23.81,oakMargin.pm.23.83,oakMargin.pm.24.80,oakMargin.pm.24.82,oakMargin.pm.24.84,oakMargin.pm.25.81,oakMargin.pm.25.83,oakMargin.pm.25.85,oakMargin.pm.26.83,oakMargin.pm.26.85,oakMargin.pm.26.87,oakMargin.pm.27.79,oakMargin.pm.27.81,oakMargin.pm.27.83,oakMargin.pm.28.80,oakMargin.pm.28.82,oakMargin.pm.28.84,oakMargin.pm.29.82,oakMargin.pm.29.84,oakMargin.pm.29.87,oakMargin.pm.30.82,oakMargin.pm.30.84,oakMargin.pm.30.87,oakMargin.pm.31.79,oakMargin.pm.31.81,oakMargin.pm.31.83,oakMargin.pm.32.80,oakMargin.pm.32.82,oakMargin.pm.32.84,oakMargin.pm.34.81,oakMargin.pm.34.83,oakMargin.pm.34.85,oakMargin.am.23.79,oakMargin.am.23.81,oakMargin.am.23.83,oakMargin.am.24.80,oakMargin.am.24.82,oakMargin.am.24.84,oakMargin.am.25.81,oakMargin.am.25.83,oakMargin.am.25.85,oakMargin.am.26.83,oakMargin.am.26.85,oakMargin.am.26.87,oakMargin.am.27.79,oakMargin.am.27.81,oakMargin.am.27.83,oakMargin.am.28.80,oakMargin.am.28.82,oakMargin.am.28.84,oakMargin.am.29.82,oakMargin.am.29.84,oakMargin.am.29.87,oakMargin.am.30.82,oakMargin.am.30.84,oakMargin.am.30.87,oakMargin.am.31.79,oakMargin.am.31.81,oakMargin.am.31.83,oakMargin.am.32.80,oakMargin.am.32.82,oakMargin.am.32.84,oakMargin.am.34.81,oakMargin.am.34.83,oakMargin.am.34.85,control.pm.23.48,control.pm.23.50,control.pm.23.52,control.pm.24.47,control.pm.24.49,control.pm.24.51,control.pm.25.45,control.pm.25.47,control.pm.25.49,control.pm.26.46,control.pm.26.48,control.pm.26.50,control.pm.27.47,control.pm.27.49,control.pm.27.51,control.pm.28.44,control.pm.28.46,control.pm.28.48,control.pm.29.48,control.pm.29.50,control.pm.29.52,control.pm.30.48,control.pm.30.50,control.pm.30.52,control.pm.31.47,control.pm.31.49,control.pm.31.51,control.pm.32.46,control.pm.32.48,control.pm.32.50,control.pm.34.51,control.pm.34.53,control.pm.34.55,control.pm.34.49,control.am.23.48,control.am.23.50,control.am.23.52,control.am.24.47,control.am.24.49,control.am.24.51,control.am.25.45,control.am.25.47,control.am.25.49,control.am.26.46,control.am.26.48,control.am.26.50,control.am.27.47,control.am.27.49,control.am.27.51,control.am.28.46,control.am.28.48,control.am.28.44,control.am.29.48,control.am.29.50,control.am.29.52,control.am.30.48,control.am.30.50,control.am.30.52,control.am.31.47,control.am.31.49,control.am.31.51,control.am.32.46,control.am.32.48,control.am.32.50,control.am.34.49,control.am.34.51,control.am.34.53
0,1,0,2,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,3,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,3,3,1,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,1,7,5,3,2,1,0,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
1,0,2,3,1,5,2,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,4,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,2,2,2,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,2,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
0,3,0,1,0,1,1,2,1,1,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,3,2,0,0,3,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,2,2,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,3,2,1,2,1,0,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,2,0,0,0,1,1,1,1,0,0,0,3,1,0,3,6,3,0,1,4,0,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4,2,0,5,1,4,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,0,5,4,0,0,0,1,0,1,0,1,1,0,0,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,1,1,2,2,1,1,0,0,1,1,1,2,0,1,1,0,2,1,0,0,1,0,1,2,0,0,0,0,2,0,1,2,0,1,0,1,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0
2,1,1,4,9,1,0,0,1,2,1,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,3,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
