,julian,time,NGRAM cosine similarity,flip NGRAM CS,levenshtein_distance,LD flip
0,236,am,1.0,1.0,0,0
1,236,pm,0.6486486486486487,0.6486486486486487,2,2
2,235,am,1.0,1.0,0,0
3,235,pm,0.782608695652174,0.782608695652174,1,1
4,234,am,0.782608695652174,0.782608695652174,1,1
5,234,pm,0.782608695652174,0.782608695652174,1,1
6,220,am,0.782608695652174,0.782608695652174,1,1
7,220,pm,0.6052631578947368,0.6052631578947368,2,2
8,219,am,0.6805555555555556,0.6805555555555556,3,3
9,219,pm,0.625,0.625,5,5
10,218,am,0.8208955223880597,0.8208955223880597,2,2
11,218,pm,0.7794117647058824,0.7794117647058824,3,3
12,214,am,0.5189873417721519,0.5189873417721519,4,4
13,214,pm,1.0,1.0,4,4
14,213,am,0.5189873417721519,0.5189873417721519,4,4
15,213,pm,0.7794117647058824,0.7794117647058824,1,1
16,212,am,0.8181818181818182,0.8181818181818182,4,4
17,212,pm,0.6,0.6,2,2
18,206,am,0.782608695652174,0.782608695652174,1,1
19,206,pm,0.7794117647058824,0.7794117647058824,2,2
20,205,am,0.7761194029850746,0.7761194029850746,3,3
21,205,pm,0.8333333333333334,0.8333333333333334,3,3
22,204,am,0.6666666666666666,0.6666666666666666,4,4
23,204,pm,0.3218390804597701,0.3218390804597701,5,5
24,203,am,0.676056338028169,0.676056338028169,5,5
25,203,pm,0.5526315789473685,0.5526315789473685,5,5
26,202,am,0.7761194029850746,0.7761194029850746,3,3
27,202,pm,0.676056338028169,0.676056338028169,3,3
28,201,am,0.5128205128205128,0.5128205128205128,4,4
29,201,pm,0.56,0.56,5,5
30,193,am,0.6714285714285714,0.6714285714285714,4,4
31,193,pm,0.26373626373626374,0.26373626373626374,7,7
32,192,am,0.5466666666666666,0.5466666666666666,6,6
33,192,pm,0.6388888888888888,0.6388888888888888,2,2
34,191,am,0.676056338028169,0.676056338028169,5,5
35,191,pm,0.8064516129032258,0.8064516129032258,5,5
36,183,am,0.7101449275362319,0.7101449275362319,5,5
37,183,pm,0.6197183098591549,0.6197183098591549,5,5
38,179,am,0.6486486486486487,0.6486486486486487,2,2
39,179,pm,0.7794117647058824,0.7794117647058824,1,1
40,178,am,0.4024390243902439,0.4024390243902439,5,5
41,178,pm,0.6338028169014085,0.6338028169014085,5,5
42,177,am,0.875,0.875,3,3
43,177,pm,0.6764705882352942,0.6764705882352942,3,3
44,172,am,0.6617647058823529,0.6617647058823529,3,3
45,172,pm,0.8666666666666667,0.8666666666666667,2,2
46,171,am,0.4024390243902439,0.4024390243902439,7,7
47,171,pm,0.8125,0.8125,8,8
48,170,am,0.5128205128205128,0.5128205128205128,4,4
49,170,pm,0.47435897435897434,0.47435897435897434,4,4
50,164,am,0.7540983606557377,0.7540983606557377,3,3
51,164,pm,0.75,0.75,1,1
52,163,am,0.5652173913043478,0.5652173913043478,4,4
53,163,pm,0.75,0.75,1,1
54,162,am,1.0,1.0,4,4
55,162,pm,0.7540983606557377,0.7540983606557377,2,2
56,158,am,0.5,0.5,4,4
57,158,pm,0.8135593220338984,0.8135593220338984,1,1
58,157,am,1.0,1.0,2,2
59,157,pm,0.765625,0.765625,3,3
